,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
0,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,326.03,0.32,-0.32,0.0,1.29,0.0,,,,,0.231,0.0,0,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,-0.35,0.09,-0.09,0.0,[Fe/H],2.31,0.1,-0.1,0.0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.34600000000000003,-0.34600000000000003,4.44038,0.0038479,-0.0038479,14-05-14,2008-01,14-05-14
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,,,,,1.51,0.0,,,,,,,0,,,,,,,,,1.7,0.4,-0.3,0.0,,,,,,,,,,15h17m05.90s,229.27459539999998,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.5621599999999995,0.0039035,-0.0039035,25-04-18 14:08,2011-08,23-07-14
5,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,185.84,0.23,-0.23,0.0,0.83,0.0,,,,,0.0,0.0,0,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,[Fe/H],2.63,0.07,-0.07,0.0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.7140000000000001,-0.7140000000000001,5.231330000000001,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028261999999999996,-0.0028261999999999996,14-05-14,2008-12,14-05-14
7,14 Her b,14 Her,1,1,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,1796.4,8.3,-8.3,0.0,2.8,0.0,,,,,0.33799999999999997,0.0,0,5255.0,50.0,-50.0,0.0,,,,,0.9,,,0.0,0.51,0.06,-0.06,0.0,[Fe/H],4.4,0.15,-0.15,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.816362100000006,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.7139999999999995,0.016,-0.016,6.382999999999999,0.0003512,-0.0003512,25-04-18 14:07,2004-01,21-08-14
13,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,800.8,11.7,-11.7,0.0,1.6,0.0,,,,,0.634,0.0,0,5760.0,20.0,-20.0,0.0,,,,,1.0,0.05,-0.05,0.0,0.05,0.06,-0.06,0.0,[Fe/H],4.35,0.07,-0.07,0.0,19h41m51.75s,295.4656422,+50d31m00.57s,50.516824299999996,21.1397,0.01105,-0.01105,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,25-04-18 14:07,1997-07,21-08-14
18,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,993.3,3.2,-3.2,0.0,2.6,0.0,,,,,0.08,0.0,0,4979.0,18.0,-18.0,0.0,8.5,,,0.0,2.3,,,0.0,-0.052000000000000005,0.023,-0.023,0.0,[Fe/H],2.82,0.06,-0.06,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.839137800000001,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539000000000003,-0.0026539000000000003,14-05-14,2008-06,14-05-14
20,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,Published Confirmed,0,,,,,330.0,0.0,18.647000000000002,,,0.0,,,0,4060.0,300.0,-200.0,0.0,1.35,,,0.0,0.85,0.2,-0.1,0.0,,,,,,,,,,16h09m30.30s,242.37623430000002,-21d04m59.31s,-21.083140300000004,139.135,1.3195,-1.3195,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275,14-05-14,2008-12,14-05-14
24,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,0,30.3506,0.0078,-0.0077,0.0,0.19,0.0,,,,,0.042,0.0,0,4893.0,15.0,-15.0,0.0,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0,-0.77,0.03,-0.03,0.0,[Fe/H],2.42,0.1,-0.1,0.0,14h28m37.33s,217.1555242,+49d50m40.74s,49.844648799999995,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,25-04-18 14:16,2018-08,26-04-18
25,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,452.8,2.1,-4.5,0.0,1.3330000000000002,0.0,,,,,0.09,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.86848659999998,-00d54m08.64s,-0.9023998,72.0691,0.6791,-0.6791,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,14-05-14,2011-01,14-05-14
26,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,0,883.0,32.4,-13.8,0.0,2.08,0.0,,,,,0.29,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.86848659999998,-00d54m08.64s,-0.9023998,72.0691,0.6791,-0.6791,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,14-05-14,2011-01,14-05-14
27,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,Published Confirmed,0,,,,,84.0,0.0,,,,,,,0,,,,,,,,,0.19,0.02,-0.02,0.0,,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,15.788,0.275,-0.275,9.237001,0.022000000000000002,-0.022000000000000002,,,,08-09-20 15:11,2013-05,03-09-20
28,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,Published Confirmed,0,,,,,,,11.209000000000001,,,0.0,,,0,3309.0,157.0,-157.0,0.0,0.37,0.01,-0.01,0.0,0.35,0.02,-0.02,0.0,,,,,,4.86,0.0,0.0,0.0,01h22m51.07s,20.712801199999998,-24d39m52.61s,-24.6646128,33.8281,0.0862,-0.0862,14.244000000000002,0.07400000000000001,-0.07400000000000001,9.198,0.026000000000000002,-0.026000000000000002,12.9025,0.001151,-0.001151,02-09-15 11:36,2015-05,03-09-15
30,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,,,,,156.0,0.0,16.141,0.336,-0.336,0.0,,,0,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,,,,,,4.59,0.06,-0.06,0.0,02h19m22.25s,34.842704600000005,-39d25m23.08s,-39.4230767,,,,,,,10.404000000000002,0.025,-0.025,15.0123,0.000624,-0.000624,14-05-15,2015-06,14-05-15
31,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,Published Confirmed,0,,,,,15.0,0.0,,,,,,,0,,,,,,,,,0.02,,,0.0,,,,,,,,,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833,14-05-14,2010-05,14-05-14
32,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,Published Confirmed,0,,,,,55.0,0.0,,,,,,,0,,,,,,,,,0.02,,,0.0,,,,,,,,,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,0.65045,-0.65045,,,,11.945,0.026000000000000002,-0.026000000000000002,17.4076,0.002154,-0.002154,24-02-16 9:34,2004-10,25-02-16
34,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,416.0,2.0,-2.0,0.0,0.92,0.0,,,,,,,0,,,,,,,,,0.48,0.03,-0.03,0.0,,,,,,,,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.028999999999999998,-0.028999999999999998,12.1376,0.0036869999999999997,-0.0036869999999999997,04-06-15,2015-05,04-06-15
35,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,Published Confirmed,0,7336.5,1934.5,-584.0,0.0,,,10.31,4.37,-4.04,0.0,0.26,0.0,0,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,,,,,,,,,,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,,,,,11.825999999999999,0.031,-0.031,17.3961,0.004861,-0.004861,14-05-14,2010-03,14-05-14
